daynight_N,lat,lon,fire_weather_index,pressure_mean,wind_direction_mean,wind_direction_std,solar_radiation_mean,dewpoint_mean,cloud_cover_mean,evapotranspiration_total,humidity_min,temp_mean,temp_range,wind_speed_max,frp
0.0,8.59023,28.98054,56.76744791666668,963.6083333333332,127.58333333333331,102.9797377588858,277.5416666666667,2.308333333333333,63.04166666666666,9.01,6.0,33.6875,17.099999999999998,23.8,4.52
0.0,-18.68093,122.60583,33.08064950980391,995.35,122.0,13.282193593931186,215.5833333333333,1.45,24.375,8.19,16.0,23.6125,11.5,28.0,7.9
1.0,-12.25821,37.48296,8.534919871794871,968.9916666666668,114.79166666666669,60.77347226015274,258.4166666666667,13.4375,26.0,5.699999999999999,25.0,26.816666666666663,13.400000000000002,18.4,1.76
0.0,41.73366,-90.69612,3.004757965686274,986.7208333333334,97.29166666666669,18.924144997565648,289.9166666666667,2.6,54.958333333333336,4.390000000000001,33.0,12.345833333333331,16.099999999999998,13.5,8.33
0.0,9.64723,-74.41124,3.139476404671718,999.5625,154.58333333333334,70.64814026018111,271.4583333333333,24.291666666666668,81.95833333333333,5.18,43.0,28.65416666666667,10.1,10.3,3.02
0.0,-18.20809,48.26175,3.350856176900585,913.5,216.54166666666663,139.31827445537152,263.0416666666667,18.53333333333333,55.91666666666666,4.73,37.0,22.70416666666667,15.1,15.4,35.46
0.0,7.97937,19.28085,8.661309317129628,964.675,75.33333333333333,104.7921222654112,242.8333333333333,10.079166666666667,3.125,5.62,23.0,25.79583333333333,14.900000000000002,10.8,6.58
0.0,-14.19028,39.19019,6.450302211934155,977.2374999999998,102.04166666666669,23.6211049111218,256.5416666666667,14.858333333333334,20.625,5.09,26.0,25.27083333333333,13.7,17.2,6.92
0.0,-3.13619,-51.10563,4.899722222222223,997.875,58.375,66.66696614516067,248.25,21.6125,49.5,5.06,47.0,28.45,9.700000000000005,12.1,19.21
1.0,54.5557,-73.65527,19.915004006410257,962.5124999999998,202.9583333333333,21.13346313051623,237.875,12.383333333333333,78.75,7.19,25.0,26.525,10.3,33.7,4.55
1.0,56.42257,-106.46935,5.799386574074076,958.7416666666668,228.75,15.653141324773546,319.75,-0.2041666666666667,0.4166666666666667,5.220000000000001,26.0,12.691666666666668,19.0,17.1,1.04
0.0,-4.16089,30.83252,7.498300000000001,887.025,129.33333333333334,50.34768007454652,266.5,10.116666666666667,60.66666666666666,5.79,24.0,25.05,16.7,11.5,8.93
0.0,-16.32875,34.35577,7.541455853174604,982.7458333333334,120.41666666666669,37.43206809972196,261.5,14.329166666666666,1.4166666666666667,5.44,27.0,26.258333333333336,14.200000000000005,10.9,7.57
0.0,9.98094,22.98036,50.2748263888889,952.9333333333334,71.375,14.076613288240416,273.4166666666667,-3.775,16.041666666666668,8.86,7.0,29.42916666666667,18.200000000000003,19.9,7.59
1.0,59.28186,-121.37975,5.033177083333333,925.5208333333334,230.25,89.37106634700069,144.16666666666666,2.1875,17.416666666666668,3.0,27.0,14.35,16.9,22.8,5.71
0.0,9.08526,-11.76034,3.061229166666667,995.0416666666666,212.0833333333333,44.67560544886014,251.5833333333333,21.979166666666668,57.41666666666666,4.880000000000001,49.0,27.51666666666667,10.4,8.7,10.06
0.0,-17.38793,130.15512,21.57819444444445,975.2375,106.0,24.31049156228644,282.4583333333333,3.516666666666667,11.166666666666666,8.17,18.0,25.570833333333336,11.7,22.2,13.51
0.0,-14.94766,133.23686,13.843801062091504,999.7791666666666,118.16666666666669,22.894079778162933,223.16666666666663,2.4666666666666663,57.5,5.51,16.0,20.95833333333333,16.599999999999998,20.3,12.34
0.0,-17.72262,26.24857,12.114636863425927,916.075,181.2083333333333,129.7311255272055,222.375,-5.4750000000000005,0.0416666666666666,4.85,11.0,18.29583333333333,18.6,11.9,17.18
0.0,22.9697,92.10934,6.688060035842293,985.6791666666668,183.29166666666663,63.24850404467199,240.16666666666663,21.78333333333333,57.833333333333336,5.23,30.0,29.58333333333333,14.700000000000005,13.0,9.6
0.0,-12.31756,40.34995,9.094872311827956,1010.1583333333334,171.04166666666666,34.2277654917109,241.4583333333333,16.641666666666666,11.958333333333334,4.67,30.0,23.4625,11.6,17.3,72.18
0.0,-1.34487,-50.33403,3.5595422149122813,1011.0833333333334,91.625,56.432712513813,240.29166666666663,22.808333333333334,54.75,4.390000000000001,56.0,27.037500000000005,7.899999999999999,11.1,11.64
0.0,7.43608,28.13779,9.285352011494252,960.1958333333332,168.79166666666666,55.892738919191366,96.54166666666669,15.004166666666668,100.0,4.03,28.0,29.754166666666663,4.600000000000001,16.4,10.12
0.0,-2.1739,-56.7992,6.274406160968661,998.15,76.83333333333333,33.650986447486034,281.6666666666667,21.975,59.04166666666666,5.869999999999999,38.0,29.40833333333333,10.2,14.6,28.59
0.0,-6.94551,27.94904,8.967676767676767,947.5416666666666,152.625,32.58298699730684,221.4583333333333,9.054166666666667,10.083333333333334,5.1000000000000005,21.0,25.73333333333333,14.8,12.7,27.64
